MMSI,Latitude,Longitude,x_coord,y_coord,Type of mobile,Ship type,Navigational status,Heading,Width,Length
2190075.0,55.027095,10.614552,10322,102,Base Station,,Unknown value,,,
203246646.0,54.58248995194886,10.14253758079293,7386,5108,Class B,Pleasure,Unknown value,,4.0,12.0
205037300.0,54.848427847444576,9.871292084755506,5596,2174,Class B,Pleasure,Unknown value,,3.0,
205271270.0,54.89143,10.41348,9067,1639,Class B,Sailing,Unknown value,,,
205318310.0,54.670583,10.043318,6730,4138,Class B,Sailing,Unknown value,,4.0,13.0
209075000.0,54.502307100024005,10.32514610002611,8583,5980,Class A,Cargo,Under way using engine,25.199999719999973,14.0,104.0
210017000.0,54.324551807248774,9.71800896388799,4671,8014,Class A,Cargo,Under way using engine,43.253012081289015,24.0,151.0
210167000.0,54.347720400002046,9.76368040000804,4966,7754,Class A,Cargo,Under way using engine,50.79999987999999,20.0,142.0
210332000.0,54.57531083331486,10.654681333206945,10697,5122,Class A,Cargo,Under way using engine,263.0,27.0,168.0
210359000.0,54.35730800002063,9.878952999936374,5713,7638,Class A,Cargo,Under way using engine,299.0,24.0,152.0
211113580.0,54.99739,9.736155,4711,527,Class B,Pleasure,Unknown value,,5.0,20.0
211117730.0,54.789692,9.43679,2810,2854,Class B,Pleasure,Unknown value,,3.0,10.0
211118520.0,54.329294654545116,10.175882763635974,7648,7922,Class A,Tug,Under way using engine,287.0545454267769,7.0,26.0
211119260.0,54.461560379177726,9.905774786710166,5873,6476,Class B,Sailing,Unknown value,,4.0,11.0
211121970.0,54.665308,9.93807,6052,4206,Class B,Sailing,Unknown value,,4.0,12.0
211123590.0,54.657187,9.936265,6042,4297,Class B,Sailing,Unknown value,,4.0,11.0
211123980.0,54.94327322807001,9.87088207017561,5580,1119,Class B,Pleasure,Unknown value,,5.0,15.0
211130700.0,54.77708728577211,10.10415152386912,7104,2947,Class B,Pleasure,Unknown value,,4.0,14.0
211132150.0,54.451043399999655,10.649891866641504,10699,6505,Class B,Pleasure,Unknown value,,4.0,10.0
211132260.0,54.590889379292115,10.686628068991036,10900,4944,Class B,Sailing,Unknown value,,7.0,8.0
211133180.0,55.039948,10.253527,8012,6,Class B,Sailing,Unknown value,,2.0,9.0
211134830.0,55.043818,9.704152,4501,12,Class B,Sailing,Unknown value,,4.0,15.0
211135050.0,55.02422510713793,10.517477642818916,9702,148,Class B,Pleasure,Unknown value,,4.0,11.0
211140050.0,54.66969942855945,9.939895749987706,6063,4157,Class B,Sailing,Unknown value,210.0,3.0,9.0
211141660.0,54.467578,10.227942,7960,6377,Class B,Pleasure,Unknown value,,3.0,10.0
211145220.0,54.691958926817065,10.08373086277046,6987,3896,Class B,Pleasure,Unknown value,260.3780487000669,3.0,10.0
211145890.0,54.84143429033343,9.995538129067455,6395,2241,Class B,Pleasure,Unknown value,,3.0,12.0
211146400.0,54.7877530333545,9.975686833313507,6276,2841,Class B,Pleasure,Unknown value,,4.0,11.0
211148630.0,54.89838633333542,9.793750000006364,5092,1624,Class B,Pleasure,Unknown value,46.666666585858586,4.0,12.0
211150070.0,54.664057,10.283047,8277,4185,Class B,Sailing,Unknown value,,,8.0
211150630.0,54.90893,10.652832,10598,1411,Class B,Sailing,Unknown value,,3.0,9.0
211150810.0,54.914574999983564,10.0833869999845,6946,1419,Class B,Pleasure,Unknown value,,4.0,11.0
211157480.0,54.869413,9.786748,5050,1947,Class B,Pleasure,Unknown value,,4.0,11.0
211158730.0,54.97597075863646,9.749345827573006,4798,764,Class B,Sailing,Unknown value,,5.0,15.0
211160770.0,54.56796410342635,10.499840482796568,9698,5226,Class B,Sailing,Unknown value,,3.0,11.0
211161930.0,54.90078,10.397605,8964,1537,Class B,Pleasure,Unknown value,89.0,,
211165360.0,54.83234,9.97498,6264,2344,Class B,Undefined,Unknown value,,,
211166190.0,54.60232699998685,10.03885939999931,6712,4898,Class B,Sailing,Unknown value,,4.0,11.0
211168490.0,54.84921637929547,10.53842682760811,9879,2092,Class B,Sailing,Unknown value,,3.0,10.0
211171720.0,54.753776617977515,9.86345107865168,5559,3228,Class B,Sailing,Unknown value,,4.0,14.0
211172270.0,54.94870753426028,9.826186041078069,5293,1062,Class B,Sailing,Unknown value,,,
211174030.0,54.66223175418997,9.935277519552992,6034,4241,Class B,Sailing,Unknown value,,4.0,13.0
211176380.0,54.898769399988645,9.892160533304617,5723,1612,Class B,Sailing,Unknown value,,4.0,13.0
211178260.0,54.8427436249982,9.528600499997188,3396,2259,Class A,Passenger,Under way using engine,,6.0,28.0
211178850.0,54.58277000003268,10.025065000032672,6626,5117,Class B,Sailing,Unknown value,,4.0,11.0
211180060.0,54.79260420000014,10.21033819998694,7784,2763,Class B,Sailing,Unknown value,307.40000018,10.0,6.0
211180730.0,54.53104260001148,10.124480199979761,7278,5683,Class B,Sailing,Unknown value,,4.0,15.0
211182380.0,54.79505083333331,9.433139916666715,2786,2794,Class A,,Under way using engine,,4.0,10.0
211182390.0,54.66445742857147,9.937787142857069,6050,4216,Class A,Law enforcement,Unknown value,,3.0,10.0
211184380.0,54.839882,10.52334,9784,2198,Class B,Pleasure,Unknown value,,4.0,12.0
211187320.0,54.69403664703819,10.070642882340708,6902,3874,Class B,Pleasure,Unknown value,,4.0,7.0
211189570.0,54.801959294117594,9.429402605042062,2762,2718,Class B,Sailing,Unknown value,,3.0,10.0
211193450.0,54.766393,10.006377,6476,3075,Class B,Sailing,Unknown value,,3.0,11.0
211193630.0,54.849375,10.524828349999629,9792,2092,Class B,Sailing,Unknown value,,3.0,12.0
211194800.0,54.845517,9.9231,5929,2202,Class B,Sailing,Unknown value,,3.0,10.0
211195120.0,54.912397,9.782668,5019,1469,Class B,Sailing,Unknown value,,3.0,10.0
211198180.0,54.64371,10.395938,9010,4397,Class B,Sailing,Unknown value,,4.0,10.0
211202160.0,54.698195,10.193262,7692,3815,Class B,Sailing,Unknown value,,4.0,13.0
211203030.0,54.893678,10.409682,9043,1614,Class B,Sailing,Unknown value,,4.0,11.0
211204010.0,54.804345,9.442107,2843,2691,Class B,Sailing,Unknown value,,5.0,15.0
211206660.0,55.018625,9.64819,4146,296,Class B,Sailing,Unknown value,,2.0,9.0
211211850.0,54.359853134920634,10.150281217460325,7476,7584,Class A,Military,Moored,,19.0,130.0
211215730.0,54.36173966666632,10.146601476189927,7452,7564,Class A,Anti-pollution,Under way using engine,125.0,9.0,48.0
211216570.0,54.3334027954526,10.163152045422908,7565,7877,Class A,Other,Under way using engine,259.84090902634296,13.0,55.0
211218100.0,54.934306966678434,10.342615266646757,8604,1171,Class B,Pleasure,Unknown value,313.0,3.0,12.0
211222130.0,55.04023000029,9.628056999863,4015,57,Class B,Sailing,Unknown value,,3.0,10.0
211222710.0,54.35368008160378,9.889539898053432,5783,7678,Class A,Tug,Under way using engine,114.0,9.0,27.0
211222930.0,54.670373,9.938995,6057,4150,Class B,Pleasure,Unknown value,,3.0,9.0
211223120.0,54.403179999982,10.20631169992053,7832,7096,Class A,Passenger,Under way using engine,242.10000008999998,8.0,33.0
211224740.0,54.42832372412994,10.547507068940618,10041,6773,Class B,Sailing,Unknown value,,3.0,11.0
211226640.0,55.00766886207296,9.68686620688487,4394,415,Class B,Sailing,Unknown value,,4.0,11.0
