MMSI,Latitude,Longitude,x_coord,y_coord,Type of mobile,Ship type,Navigational status,Heading,Width,Length,ImageId
209075000.0,54.502307100024005,10.32514610002611,8583,5980,Class A,Cargo,Under way using engine,25.199999719999973,14.0,104.0,ship_209075000_2022-08-12
210017000.0,54.32455180724877,9.71800896388799,4671,8014,Class A,Cargo,Under way using engine,43.253012081289015,24.0,151.0,ship_210017000_2022-08-12
210167000.0,54.347720400002046,9.76368040000804,4966,7754,Class A,Cargo,Under way using engine,50.79999987999999,20.0,142.0,ship_210167000_2022-08-12
210332000.0,54.57531083331486,10.654681333206945,10697,5122,Class A,Cargo,Under way using engine,263.0,27.0,168.0,ship_210332000_2022-08-12
210359000.0,54.35730800002063,9.878952999936374,5713,7638,Class A,Cargo,Under way using engine,299.0,24.0,152.0,ship_210359000_2022-08-12
211118520.0,54.32929465454512,10.175882763635974,7648,7922,Class A,Tug,Under way using engine,287.0545454267769,7.0,26.0,ship_211118520_2022-08-12
211215730.0,54.36173966666632,10.146601476189929,7452,7564,Class A,Anti-pollution,Under way using engine,125.0,9.0,48.0,ship_211215730_2022-08-12
211216570.0,54.3334027954526,10.163152045422908,7565,7877,Class A,Other,Under way using engine,259.84090902634296,13.0,55.0,ship_211216570_2022-08-12
211222710.0,54.35368008160378,9.889539898053432,5783,7678,Class A,Tug,Under way using engine,114.0,9.0,27.0,ship_211222710_2022-08-12
211223120.0,54.403179999982,10.20631169992053,7832,7096,Class A,Passenger,Under way using engine,242.10000009,8.0,33.0,ship_211223120_2022-08-12
211226920.0,54.682255,9.99127272727286,6392,4013,Class A,Passenger,Moored,178.0181818092562,6.0,21.0,ship_211226920_2022-08-12
211231520.0,54.36003808426952,10.147704432584517,7459,7583,Class A,Tug,Moored,310.0,14.0,32.0,ship_211231520_2022-08-12
211236290.0,54.37176673333358,10.157869066666535,7523,7451,Class A,Other,Under way using engine,143.0,8.0,50.0,ship_211236290_2022-08-12
211317180.0,54.386433,10.173635,7623,7286,Class A,Cargo,Moored,330.0,17.0,100.0,ship_211317180_2022-08-12
211336340.0,54.890902,10.414025,9071,1645,Class A,Other,Under way using engine,349.0,6.0,28.0,ship_211336340_2022-08-12
211367180.0,54.400047,10.213967,7882,7130,Class B,Pleasure,Unknown value,225.0,5.0,15.0,ship_211367180_2022-08-12
211479160.0,54.752975,9.862965,5556,3237,Class B,Sailing,Unknown value,111.0,4.0,15.0,ship_211479160_2022-08-12
211519000.0,54.682368838709614,9.992143322580151,6398,4012,Class A,Fishing,Engaged in fishing,275.38709679396464,5.0,17.0,ship_211519000_2022-08-12
211533370.0,54.49993933332605,10.28486519991712,8322,6011,Class A,Pilot,Unknown value,261.06666659555555,5.0,18.0,ship_211533370_2022-08-12
211611070.0,54.35981238842977,10.14820126446278,7463,7585,Class A,Tug,Moored,129.2176308518392,8.0,28.0,ship_211611070_2022-08-12
211731030.0,54.47258649180337,9.038420229508027,250,6391,Class A,Law enforcement,Moored,257.2131147669981,7.0,23.0,ship_211731030_2022-08-12
211769770.0,54.81266033333167,10.517973333314806,9757,2501,Class B,Sailing,Unknown value,262.7666666794444,5.0,15.0,ship_211769770_2022-08-12
211796430.0,54.472708,9.035422887640562,231,6390,Class A,Anti-pollution,Moored,345.0,7.0,22.0,ship_211796430_2022-08-12
211800420.0,54.66060914285709,10.021046714285632,6588,4251,Class A,SAR,Under way using engine,24.0,5.0,20.0,ship_211800420_2022-08-12
211812780.0,54.63138999996728,10.132244636380667,7310,4565,Class A,Pleasure,Under way using engine,162.18181825619834,4.0,16.0,ship_211812780_2022-08-12
211848130.0,54.32352232583797,10.14627314605136,7457,7989,Class A,Passenger,Under way using engine,212.51685360131296,9.0,34.0,ship_211848130_2022-08-12
211855000.0,54.19046701989208,9.522393054686502,3410,9518,Class A,Cargo,Under way using engine,248.63681591722977,20.0,160.0,ship_211855000_2022-08-12
211865680.0,54.31375229247905,10.133780027855147,7377,8099,Class A,Passenger,Moored,286.9721448522901,9.0,34.0,ship_211865680_2022-08-12
218715000.0,54.943417,10.25645460305334,8050,1080,Class A,Cargo,Moored,288.1145038100344,12.0,58.0,ship_218715000_2022-08-12
219000141.0,54.942765181818224,10.256967999999912,8053,1087,Class A,Dredging,Moored,254.0,10.0,58.0,ship_219000141_2022-08-12
219000178.0,55.04215125301206,9.423138746987943,2705,45,Class A,Military,Moored,0.0,6.0,25.0,ship_219000178_2022-08-12
219000606.0,55.0193119999671,10.00415109997809,6422,261,Class A,Passenger,Under way using engine,197.30000007,12.0,70.0,ship_219000606_2022-08-12
219000647.0,55.04232637500071,9.423282624999295,2706,43,Class A,Other,Under way using engine,272.0,5.0,15.0,ship_219000647_2022-08-12
219000674.0,55.0301140000276,10.54566160006184,9881,78,Class A,Passenger,Under way using engine,52.0,18.0,50.0,ship_219000674_2022-08-12
219000733.0,54.941725,10.259602454545403,8070,1098,Class A,Passenger,Under way using engine,152.0,11.0,47.0,ship_219000733_2022-08-12
219000742.0,54.96585719999992,10.4371639999996,9202,808,Class A,Passenger,Under way using engine,318.0,10.0,31.0,ship_219000742_2022-08-12
219000836.0,55.00836649997212,10.5077599999925,9644,325,Class A,Passenger,Under way using engine,187.0,15.0,60.0,ship_219000836_2022-08-12
219001218.0,54.85447282592591,10.522519907407462,9776,2036,Class A,Other,Moored,170.5962962985048,6.0,34.0,ship_219001218_2022-08-12
219001431.0,55.00478842856066,9.683857285680816,4375,448,Class A,Passenger,Under way using engine,234.57142848979592,14.0,54.0,ship_219001431_2022-08-12
219001647.0,54.583368,9.820797363634515,5306,5127,Class A,Dredging,Under way using engine,241.0,8.0,36.0,ship_219001647_2022-08-12
219003217.0,54.86317433329645,9.513328333261777,3296,2033,Class A,Cargo,Under way using engine,243.0,4.0,15.0,ship_219003217_2022-08-12
219014072.0,54.91864961538813,9.597540307694054,3832,1411,Class B,Sailing,Unknown value,1609.6152610295949,4.0,16.0,ship_219014072_2022-08-12
219017917.0,54.937635,10.702788,10910,1084,Class A,Passenger,Under way using engine,172.39999994,12.0,38.0,ship_219017917_2022-08-12
219023531.0,54.99486420001584,9.9862880000102,6311,535,Class A,Passenger,Under way using engine,21.39999987999997,13.0,60.0,ship_219023531_2022-08-12
219026197.0,54.91134499994267,10.657665333271112,10628,1383,Class A,Passenger,Under way using engine,212.6666662222221,13.0,50.0,ship_219026197_2022-08-12
219030656.0,54.75111,10.671502,10759,3164,Class A,Pilot,Moored,335.0,4.0,15.0,ship_219030656_2022-08-12
219850000.0,55.02598490000749,9.97193589996829,6215,190,Class A,Tug,Under way using engine,290.0,9.0,33.0,ship_219850000_2022-08-12
230648000.0,55.041868,9.426942,2730,48,Class A,Cargo,Moored,281.0,11.0,74.0,ship_230648000_2022-08-12
244020808.0,54.36512277500209,10.145185699988511,7442,7526,Class A,Cargo,Under way using engine,285.4833333270139,13.0,98.0,ship_244020808_2022-08-12
244780000.0,54.51121640001736,10.402828000082,9084,5871,Class A,Cargo,Under way using engine,71.79999992,13.0,95.0,ship_244780000_2022-08-12
247353700.0,54.326017,10.147883,7467,7961,Class A,Passenger,Moored,31.0,50.0,304.0,ship_247353700_2022-08-12
255806511.0,54.33298923331036,9.732339599951848,4764,7920,Class A,Cargo,Under way using engine,230.0,16.0,153.0,ship_255806511_2022-08-12
259222000.0,54.318255,10.141357827586194,7426,8048,Class A,Passenger,Moored,39.0,36.0,224.0,ship_259222000_2022-08-12
265411000.0,54.369815,10.114412,7241,7477,Class A,Cargo,Under way using engine,285.0,24.0,170.0,ship_265411000_2022-08-12
275496000.0,54.54427208474596,10.314072135593278,8502,5514,Class A,Cargo,At anchor,123.11864408541608,18.0,91.0,ship_275496000_2022-08-12
275519000.0,54.49949954544159,10.29016145450096,8357,6015,Class A,Cargo,Under way using engine,239.4545453223141,14.0,99.0,ship_275519000_2022-08-12
304010515.0,54.47029537362624,9.035827472527505,234,6417,Class A,Cargo,Moored,157.0,16.0,97.0,ship_304010515_2022-08-12
305661000.0,54.36676740000304,10.13752459997496,7392,7509,Class A,Cargo,Under way using engine,283.0,12.0,82.0,ship_305661000_2022-08-12
308924000.0,54.39439023811594,10.20315014286747,7813,7194,Class A,Cargo,Under way using engine,13.523809498866214,12.0,83.0,ship_308924000_2022-08-12
312339000.0,54.795612,9.432537,2782,2788,Class A,Pleasure,Moored,162.0,7.0,53.0,ship_312339000_2022-08-12
636092240.0,54.31949889998282,9.712715999996384,4637,8071,Class A,Cargo,Under way using engine,184.19999995333333,21.0,155.0,ship_636092240_2022-08-12
636092297.0,54.34468177772908,9.755644888792766,4914,7788,Class A,Cargo,Under way using engine,228.0,15.0,115.0,ship_636092297_2022-08-12
