location_id,datetime,geometry
0000000,2020-03-29T00:15:15.000000Z,"POLYGON ((-91.82144528967012 18.564968306636285, -91.82144528967012 18.588542158464236, -91.84615634290395 18.588542158464236, -91.84615634290395 18.564968306636285, -91.82144528967012 18.564968306636285))"
0000000,2020-09-24T16:29:29.000000Z,"POLYGON ((-91.82158153327171 18.56509828031429, -91.82158153327171 18.588322889892943, -91.84592649682799 18.588322889892943, -91.84592649682799 18.56509828031429, -91.82158153327171 18.56509828031429))"
0000000,2020-12-28T16:37:11.000000Z,"POLYGON ((-91.82158153327171 18.56509828031429, -91.82158153327171 18.588322889892943, -91.84592649682799 18.588322889892943, -91.84592649682799 18.56509828031429, -91.82158153327171 18.56509828031429))"
0000000,2020-06-21T16:29:01.000000Z,"POLYGON ((-91.82158153327171 18.56509828031429, -91.82158153327171 18.588322889892943, -91.84592649682799 18.588322889892943, -91.84592649682799 18.56509828031429, -91.82158153327171 18.56509828031429))"
0000000,2020-03-28T16:28:29.000000Z,"POLYGON ((-91.82158153327171 18.56509828031429, -91.82158153327171 18.588322889892943, -91.84592649682799 18.588322889892943, -91.84592649682799 18.56509828031429, -91.82158153327171 18.56509828031429))"
0000000,2020-03-23T16:29:31.000000Z,"POLYGON ((-91.82158153327171 18.56509828031429, -91.82158153327171 18.588322889892943, -91.84592649682799 18.588322889892943, -91.84592649682799 18.56509828031429, -91.82158153327171 18.56509828031429))"
0000000,2020-12-30T00:15:23.000000Z,"POLYGON ((-91.8213518638042 18.564968306636285, -91.8213518638042 18.588542158464236, -91.8461561662955 18.588542158464236, -91.8461561662955 18.564968306636285, -91.8213518638042 18.564968306636285))"
0000000,2020-06-27T00:14:49.000000Z,"POLYGON ((-91.8213518638042 18.564968306636285, -91.8213518638042 18.588542158464236, -91.8461561662955 18.588542158464236, -91.8461561662955 18.564968306636285, -91.8213518638042 18.564968306636285))"
0000000,2020-09-28T12:01:05.000000Z,"POLYGON ((-91.82144528967012 18.564968306636285, -91.82144528967012 18.588542158464236, -91.84615634290395 18.588542158464236, -91.84615634290395 18.564968306636285, -91.82144528967012 18.564968306636285))"
0000001,2020-11-04T13:51:21.000000Z,"POLYGON ((-55.79133248181467 -20.457813199904727, -55.79133248181467 -20.434588590981924, -55.81596062856273 -20.434588590981924, -55.81596062856273 -20.457813199904727, -55.79133248181467 -20.457813199904727))"
0000001,2021-01-23T13:51:11.000000Z,"POLYGON ((-55.79133248181467 -20.457813199904727, -55.79133248181467 -20.434588590981924, -55.81596062856273 -20.434588590981924, -55.81596062856273 -20.457813199904727, -55.79133248181467 -20.457813199904727))"
0000001,2021-05-08T13:51:09.000000Z,"POLYGON ((-55.79133248181467 -20.457813199904727, -55.79133248181467 -20.434588590981924, -55.81596062856273 -20.434588590981924, -55.81596062856273 -20.457813199904727, -55.79133248181467 -20.457813199904727))"
0000001,2021-08-11T13:51:21.000000Z,"POLYGON ((-55.79133248181467 -20.457813199904727, -55.79133248181467 -20.434588590981924, -55.81596062856273 -20.434588590981924, -55.81596062856273 -20.457813199904727, -55.79133248181467 -20.457813199904727))"
0000001,2020-11-01T09:10:54.000000Z,"POLYGON ((-55.791100140807615 -20.458032299988904, -55.791100140807615 -20.434369490897748, -55.816192969569784 -20.434369490897748, -55.816192969569784 -20.458032299988904, -55.791100140807615 -20.458032299988904))"
0000001,2021-02-05T09:10:50.000000Z,"POLYGON ((-55.7911946534131 -20.457943173579064, -55.7911946534131 -20.434369322416824, -55.816193148232564 -20.434369322416824, -55.816193148232564 -20.457943173579064, -55.7911946534131 -20.457943173579064))"
0000001,2021-04-30T09:10:51.000000Z,"POLYGON ((-55.7911946534131 -20.458032299988904, -55.7911946534131 -20.434369490897748, -55.816193148232564 -20.434369490897748, -55.816193148232564 -20.458032299988904, -55.7911946534131 -20.458032299988904))"
0000001,2021-08-04T09:10:57.000000Z,"POLYGON ((-55.7911946534131 -20.457943173579064, -55.7911946534131 -20.434369322416824, -55.816193148232564 -20.434369322416824, -55.816193148232564 -20.457943173579064, -55.7911946534131 -20.457943173579064))"
0000002,2020-07-18T10:25:59.000000Z,"POLYGON ((5.380312577487874 43.665811302432765, 5.380312577487874 43.68853102975437, 5.349099333168859 43.68853102975437, 5.349099333168859 43.665811302432765, 5.380312577487874 43.665811302432765))"
0000002,2021-04-07T10:36:19.000000Z,"POLYGON ((5.380312577487874 43.665811302432765, 5.380312577487874 43.68853102975437, 5.349099333168859 43.68853102975437, 5.349099333168859 43.665811302432765, 5.380312577487874 43.665811302432765))"
0000002,2020-07-16T17:31:14.000000Z,"POLYGON ((5.380836797249583 43.66542972947224, 5.380836797249583 43.688483570430925, 5.349164534631758 43.688483570430925, 5.349164534631758 43.66542972947224, 5.380836797249583 43.66542972947224))"
0000002,2021-04-18T17:31:15.000000Z,"POLYGON ((5.380836797249583 43.6654282900466, 5.380836797249583 43.68839768470141, 5.349164534631758 43.68839768470141, 5.349164534631758 43.6654282900466, 5.380836797249583 43.6654282900466))"
0000002,2020-10-14T17:30:27.000000Z,"POLYGON ((5.380955218504338 43.66542972947224, 5.380955218504338 43.688483570430925, 5.349166084068736 43.688483570430925, 5.349166084068736 43.66542972947224, 5.380955218504338 43.66542972947224))"
